,Year_0,row_id,genAI3[other]_0,genAI3
676,2026,2026_277,,Gemini
677,2026,2026_282,,Gemini
678,2026,2026_292,,Gemini
679,2026,2026_302,,Gemini
680,2026,2026_312,,Gemini
681,2026,2026_322,,Gemini
682,2026,2026_328,,Gemini
683,2026,2026_344,,Gemini
684,2026,2026_350,,Gemini
685,2026,2026_351,MistralAI LeChat,Gemini
686,2026,2026_352,,Gemini
687,2026,2026_362,,Gemini
688,2026,2026_363,,Gemini
689,2026,2026_365,,Gemini
690,2026,2026_366,,Gemini
691,2026,2026_376,,Gemini
692,2026,2026_381,,Gemini
693,2026,2026_393,,Gemini
694,2026,2026_403,,Gemini
695,2026,2026_411,,Gemini
696,2026,2026_414,,Gemini
697,2026,2026_420,,Gemini
698,2026,2026_430,Mistral Le Chat,Gemini
699,2026,2026_437,,Gemini
700,2026,2026_442,,Gemini
701,2026,2026_452,,Gemini
702,2026,2026_455,,Gemini
703,2026,2026_458,,Gemini
704,2026,2026_460,,Gemini
705,2026,2026_471,,Gemini
706,2026,2026_472,,Gemini
707,2026,2026_474,,Gemini
708,2026,2026_479,,Gemini
709,2026,2026_483,,Gemini
710,2026,2026_517,,Gemini
711,2026,2026_547,,Gemini
712,2026,2026_557,,Gemini
713,2026,2026_562,,Gemini
714,2026,2026_570,,Gemini
715,2026,2026_573,,Gemini
716,2026,2026_580,,Gemini
717,2026,2026_600,,Gemini
718,2026,2026_603,,Gemini
719,2026,2026_622,,Gemini
720,2026,2026_624,,Gemini
721,2026,2026_625,,Gemini
722,2026,2026_629,ollama with various models,Gemini
723,2026,2026_634,,Gemini
724,2026,2026_636,"Locally hosted LLMs, e.g., Qwen3",Gemini
725,2026,2026_644,,Gemini
726,2026,2026_654,,Gemini
727,2026,2026_657,,Gemini
728,2026,2026_662,,Gemini
729,2026,2026_663,,Gemini
730,2026,2026_666,,Gemini
731,2026,2026_671,Duck AI,Gemini
732,2026,2026_674,,Gemini
733,2026,2026_678,,Gemini
734,2026,2026_691,,Gemini
735,2026,2026_697,,Gemini
736,2026,2026_698,,Gemini
737,2026,2026_700,,Gemini
738,2026,2026_705,,Gemini
739,2026,2026_707,,Gemini
740,2026,2026_708,,Gemini
741,2026,2026_711,,Gemini
742,2026,2026_721,,Gemini
743,2026,2026_722,,Gemini
744,2026,2026_732,,Gemini
745,2026,2026_736,,Gemini
746,2026,2026_740,,Gemini
747,2026,2026_744,DeepSeek,Gemini
748,2026,2026_746,,Gemini
749,2026,2026_750,,Gemini
750,2026,2026_756,,Gemini
751,2026,2026_758,,Gemini
752,2026,2026_765,,Gemini
753,2026,2026_773,,Gemini
754,2026,2026_779,,Gemini
755,2026,2026_781,,Gemini
756,2026,2026_791,,Gemini
757,2026,2026_792,Windsurf,Gemini
758,2026,2026_793,,Gemini
759,2026,2026_802,,Gemini
760,2026,2026_806,,Gemini
761,2026,2026_811,,Gemini
762,2026,2026_816,openai codex,Gemini
763,2026,2026_819,,Gemini
764,2026,2026_825,,Gemini
765,2026,2026_838,,Gemini
766,2026,2026_845,,Gemini
767,2026,2026_868,,Gemini
768,2026,2026_877,"DeepSeek, Kimi, Qwen, Perplexity, Windsurf",Gemini
769,2026,2026_878,,Gemini
770,2026,2026_892,,Gemini
771,2026,2026_900,,Gemini
772,2026,2026_910,,Gemini
773,2026,2026_925,,Gemini
774,2026,2026_926,,Gemini
775,2026,2026_930,,Gemini
776,2026,2026_931,,Gemini
777,2026,2026_934,Mistral,Gemini
