,Year_0,row_id,train3_0
1284,2022,2022_1062,gradtubs
1285,2022,2022_1062,musen
1289,2022,2022_1066,open source project support & training
1292,2022,2022_1069,carpentries
1293,2022,2022_1069,research group workshops
1294,2022,2022_1069,my team also offers workshops
1295,2022,2022_1070,local
1296,2022,2022_1071,lehre
1303,2022,2022_1078,university (msc lectures)
1306,2022,2022_1081,carpentries
1307,2022,2022_1081,carpentries
1308,2022,2022_1081,local training
1309,2022,2022_1082,no formal training
1313,2022,2022_1085,carpentries
1314,2022,2022_1085,local university
1315,2022,2022_1086,nvidia deep learning institute
1316,2022,2022_1087,local university
1318,2022,2022_1089,carpentries
1323,2022,2022_1094,formation au sein de l'université 
1325,2022,2022_1096,informal
1326,2022,2022_1096,phd students
1327,2022,2022_1096,masters students within research group.
1328,2022,2022_1097,coderefinery
1329,2022,2022_1097,introduction to deep learning
1330,2022,2022_1097,parallel python
1331,2022,2022_1097,containerization with docker
1333,2022,2022_1099,closed user demos
1340,2022,2022_1106,local university
1341,2022,2022_1107,carpentries
1342,2022,2022_1107,coderefinery
1356,2022,2022_1121,carpentries
1357,2022,2022_1121,centre for doctoral training
1358,2022,2022_1121,local university
1365,2022,2022_1128,carpentries
1373,2022,2022_1136,carpentries
1374,2022,2022_1136,locally run courses up to msc level
1375,2022,2022_1137,local
1376,2022,2022_1138,local training
1380,2022,2022_1142,user training activities in local
1381,2022,2022_1142,abroad workshops
1392,2022,2022_1153,a lecture on using git for masters students in the dept. of psychology
1393,2022,2022_1154,local university
1394,2022,2022_1155,local (within group)
1396,2022,2022_1157,carpentries
1398,2022,2022_1159,local
1403,2022,2022_1164,local university
1404,2022,2022_1164,specific workshops
1416,2022,2022_1176,institute training
1417,2022,2022_1176,nvidia deep learning institute
1418,2022,2022_1177,local university
1421,2022,2022_1180,teaching other users how my code works
1423,2022,2022_1182,programming lecture course
1424,2022,2022_1182,carpentries
1426,2022,2022_1184,local university
1429,2022,2022_1187,hsf
1430,2022,2022_1187,carpentries
1431,2022,2022_1187,local university
1432,2022,2022_1188,carpentries
1434,2022,2022_1190,local university
1435,2022,2022_1191,local university
1436,2022,2022_1192,local university
1440,2022,2022_1195,carpentries
1441,2022,2022_1195,bitss 
1450,2022,2022_1203,carpentries
1451,2022,2022_1204,online
1452,2022,2022_1205,organisation training
1453,2022,2022_1206,miscellaneous
1456,2022,2022_1206,readings
1459,2022,2022_1209,local institute training
1466,2022,2022_1216,carpentries
1467,2022,2022_1216,local training
1473,2022,2022_1220,keinen
1474,2022,2022_1221,carpentries
1475,2022,2022_1221,carpentries
1479,2022,2022_1224,machine learning
1481,2022,2022_1226,workshops
1484,2022,2022_1229,dh downunder
1485,2022,2022_1229,various dh workshops hosted by universities. creating online
1486,2022,2022_1229,guides for our website.
1489,2022,2022_1232,carpentries
1490,2022,2022_1232,local university
1493,2022,2022_1235,lehrgang an universitäten
1494,2022,2022_1236,ausbildung referendare
1495,2022,2022_1236,ausbildung anwärter
1496,2022,2022_1236,schulungen von betrieben
1497,2022,2022_1236,interne fortbildungen
1500,2022,2022_1238,institutseigene workshopreihe
1503,2022,2022_1241,hacky hour
1505,2022,2022_1243,post grad training
1506,2022,2022_1243,undergrad teaching. 
1509,2022,2022_1246,local university
1510,2022,2022_1246,governement institute training
1515,2022,2022_1251,local university
1517,2022,2022_1253,local department training
1519,2022,2022_1255,carpentries
1520,2022,2022_1255,local university
1521,2022,2022_1256,parallel programming
1524,2022,2022_1259,local university
1526,2022,2022_1261,local university
1533,2022,2022_1268,galaxy training network
1535,2022,2022_1270,local m.sc. in software engineering
1536,2022,2022_1270,local researcher training
1537,2022,2022_1270,local summer school
1541,2022,2022_1273,carpentries
1542,2022,2022_1273,local university
1543,2022,2022_1274,local university
1546,2022,2022_1277,git
1547,2022,2022_1277,r
1548,2022,2022_1277,python
1549,2022,2022_1277,gis
1550,2022,2022_1277,einführung
1552,2022,2022_1277,spezialwissen
1557,2022,2022_1282,carpentries
1558,2022,2022_1282,local university
1559,2022,2022_1283,recurring school for the main software i develop
1560,2022,2022_1284,softare
1561,2022,2022_1284,carpentries
